timestamp,city,temperature,description
2025-12-24T08:18:09.825Z,London,4.8,overcast clouds
2025-12-24T10:13:53.519Z,London,4.9,broken clouds
2025-12-24T10:13:53.521Z,London,4.9,broken clouds
2025-12-24T12:24:16.672Z,London,5.95,broken clouds
2025-12-24T12:24:16.674Z,London,5.95,broken clouds
2025-12-24T14:12:01.295Z,London,5.92,broken clouds
2025-12-24T14:12:01.297Z,London,5.92,broken clouds
2025-12-24T16:15:19.622Z,London,4.72,broken clouds
2025-12-24T16:15:19.624Z,London,4.72,broken clouds
2025-12-24T18:18:19.167Z,London,4.17,scattered clouds
2025-12-24T18:18:19.169Z,London,4.17,scattered clouds
2025-12-24T20:13:21.225Z,London,3.85,clear sky
2025-12-24T20:13:21.227Z,London,3.85,clear sky
2025-12-24T22:12:18.895Z,London,3.84,few clouds
2025-12-24T22:12:18.897Z,London,3.84,few clouds
2025-12-25T00:59:06.969Z,London,3.5,clear sky
2025-12-25T00:59:06.971Z,London,3.5,clear sky
2025-12-25T03:20:12.790Z,London,3.21,clear sky
2025-12-25T03:20:12.792Z,London,3.21,clear sky
2025-12-25T04:30:36.011Z,London,3.24,clear sky
2025-12-25T04:30:36.013Z,London,3.24,clear sky
2025-12-25T06:20:15.822Z,London,3.26,clear sky
2025-12-25T06:20:15.825Z,London,3.26,clear sky
2025-12-25T08:17:48.765Z,London,2.98,clear sky
2025-12-25T08:17:48.767Z,London,2.98,clear sky
2025-12-25T10:13:57.550Z,London,3.81,clear sky
2025-12-25T10:13:57.553Z,London,3.81,clear sky
2025-12-25T12:24:09.126Z,London,5.74,clear sky
2025-12-25T12:24:09.128Z,London,5.74,clear sky
2025-12-25T14:12:12.386Z,London,5.77,clear sky
2025-12-25T14:12:12.388Z,London,5.77,clear sky
2025-12-25T16:15:09.269Z,London,4.32,broken clouds
2025-12-25T16:15:09.271Z,London,4.32,broken clouds
2025-12-25T18:18:05.836Z,London,4.31,overcast clouds
2025-12-25T18:18:05.838Z,London,4.31,overcast clouds
2025-12-25T20:13:53.048Z,London,4.13,overcast clouds
2025-12-25T20:13:53.050Z,London,4.13,overcast clouds
2025-12-25T22:11:59.629Z,London,3.86,overcast clouds
2025-12-25T22:11:59.631Z,London,3.86,overcast clouds
2025-12-26T00:59:32.013Z,London,3.69,overcast clouds
2025-12-26T00:59:32.016Z,London,3.69,overcast clouds
2025-12-26T03:18:00.060Z,London,3.75,broken clouds
2025-12-26T03:18:00.062Z,London,3.75,broken clouds
2025-12-26T04:28:11.596Z,London,3.85,overcast clouds
2025-12-26T04:28:11.598Z,London,3.85,overcast clouds
2025-12-26T06:19:59.640Z,London,4.16,overcast clouds
2025-12-26T06:19:59.641Z,London,4.16,overcast clouds
2025-12-26T08:17:48.196Z,London,4.42,overcast clouds
2025-12-26T08:17:48.198Z,London,4.42,overcast clouds
2025-12-26T10:13:38.017Z,London,4.88,overcast clouds
2025-12-26T10:13:38.019Z,London,4.88,overcast clouds
2025-12-26T12:24:04.978Z,London,5.66,broken clouds
2025-12-26T12:24:04.985Z,London,5.66,broken clouds
2025-12-26T14:12:28.556Z,London,6.51,broken clouds
2025-12-26T14:12:28.557Z,London,6.51,broken clouds
2025-12-26T16:14:24.654Z,London,5.48,overcast clouds
2025-12-26T16:14:24.655Z,London,5.48,overcast clouds
2025-12-26T18:17:58.843Z,London,5.16,overcast clouds
2025-12-26T18:17:58.845Z,London,5.16,overcast clouds
2025-12-26T20:13:00.410Z,London,5.01,overcast clouds
2025-12-26T20:13:00.418Z,London,5.01,overcast clouds
